query_family,instance_id,backend,first_ms,median_ms,min_ms,max_ms,measured_runs,row_count,result_sha256
Q1,q1_ai_years,postgresql,112.455,106.676,105.341,110.678,5,20,a330d4a4838d0f31e82439998ce04f04bce7f868adead56e9a7e2c54dc987617
Q1,q1_all_decades,postgresql,228.508,207.438,204.777,208.594,5,15,b8da693a510d000e40c558f6a4519a0bd1cf4dd3c3eb6636f8db028dd1bded05
Q1,q1_database_years,postgresql,29.983,30.498,29.945,32.488,5,30,cdc5eb97be57dd159cb7410edc8922a948f8fdc54a74e067f06d5cd2179fa3e1
Q2,q2_all_min_2,postgresql,2894.013,2841.271,2765.315,2860.647,5,25,4c74aca753a73da4673ebb7398afde886331141737ecf6fff37c4b96a8385675
Q2,q2_database_min_3,postgresql,682.910,1495.634,1409.976,1656.796,5,25,ee65f40db49def629fb51b2bcc57308257416144c5ad30863f6a5d885a3856e7
Q3,q3_direct_moderate,postgresql,3124.351,3014.644,2610.735,3626.467,5,1,862952a08384e9a387c13f29fd6ecaac8951af26841354f0e7ca16f6a8181490
Q3,q3_distance_3,postgresql,6311.140,2038.441,2021.808,2176.205,5,1,06edfbc22bc6367e71cbdddecdfbf4ff6c9acdc89b92ff71dfba4cbfea41ad8c
Q3,q3_out_of_bound_depth_2,postgresql,1859.111,2483.119,2333.444,2533.031,5,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
